Name,Position,Total Pass,Accurate Pass,Total Long Balls,Accurate Long Balls,Total Cross,Accurate Cross,Aerial Won,Aerial Lost,Duel Lost,Duel Won,Total Dribbles,Successful Dribbles,Big Chance Created,Big Chance Missed,Interception Won,Dribbled Past,Dispossessed,Error Lead To Shot,Total Tackle,Fouls,Was Fouled,Total Clearance,Key Pass,Shots On Target,Shots Off Target,Goal Assist,Goals,Woodwork,Saves,Punches,Save From Inside The Box,Last Man Tackle,Shots Blocked,Blocked Shots,Total Keeper Sweeper,Accurate Keeper Sweeper,Touches,Total OffSide,Possession Lost Ctrl,Own Goals,MinutesPlayed,place,Team,SofaScore Rating
P. Milla,F,7,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,21,Away,Elche CF,6.6
Neto,G,25,24,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,37,0,1,0,90,Home,Barcelona,7.4
S. Roberto,D,54,49,1,1,2,2,1,0,2,3,1,0,1,0,0,0,1,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,71,0,7,0,90,Home,Barcelona,7.4
G. Piqué,D,73,69,5,4,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,5,0,90,Home,Barcelona,7.5
C. Lenglet,D,59,54,4,1,0,0,1,2,5,2,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,6,0,90,Home,Barcelona,6.8
J. Alba,D,87,75,3,1,5,1,0,1,2,4,2,2,0,0,2,0,0,0,2,2,0,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,113,0,19,0,90,Home,Barcelona,8.2
S. Busquets,M,71,62,2,2,0,0,0,2,5,1,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,9,0,78,Home,Barcelona,6.9
F. de Jong,M,83,74,4,4,0,0,2,0,2,4,1,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,11,0,90,Home,Barcelona,7.2
A. Griezmann,F,27,22,1,1,0,0,1,0,3,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30,0,6,0,78,Home,Barcelona,6.3
P. Coutinho,M,47,43,2,1,3,1,0,0,3,5,3,3,1,1,0,1,0,0,2,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,62,0,8,0,70,Home,Barcelona,7.4
A. Fati,F,47,39,0,0,1,0,0,0,2,6,3,3,1,0,0,1,0,0,1,2,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,62,0,12,0,70,Home,Barcelona,9.6
L. Messi,F,61,54,3,3,5,0,0,0,3,5,4,2,0,1,0,0,1,0,1,0,2,0,1,4,1,0,1,0,0,0,0,0,2,0,0,0,84,0,16,0,90,Home,Barcelona,8.2
I. Peña,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
A. Tenas,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
R. Araújo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
J. Firpo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
S. R. Mingo,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
M. Pjanić,M,19,18,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,1,0,12,Home,Barcelona,6.9
C. Aleñá,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
Pedri,M,14,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,20,Home,Barcelona,6.6
R. Puig,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
Rafinha,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,Barcelona,0
O. Dembélé,F,12,10,0,0,0,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,3,0,20,Home,Barcelona,6.7
F. Trincão,F,6,5,0,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,10,1,2,0,12,Home,Barcelona,6.8
S. Asenjo,G,24,18,12,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,6,0,0,0,0,0,38,0,6,0,90,Away,Villarreal,7.2
M. Gaspar,D,35,30,4,3,4,1,0,0,3,5,3,3,0,0,1,2,0,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,63,0,12,0,90,Away,Villarreal,6.4
R. Albiol,D,56,49,9,5,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63,0,7,0,84,Away,Villarreal,6
P. Torres,D,51,48,10,10,0,0,0,0,2,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,4,1,90,Away,Villarreal,6.4
P. Estupiñán,D,47,36,1,0,9,1,0,2,6,3,1,0,0,0,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,22,0,90,Away,Villarreal,6.1
S. Chukwueze,M,28,19,1,0,0,0,1,1,4,5,4,3,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,15,0,74,Away,Villarreal,6.3
D. Parejo,M,79,73,5,3,2,2,0,0,3,3,1,1,0,0,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,6,0,90,Away,Villarreal,7
F. Coquelin,M,24,21,2,2,0,0,1,0,3,1,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,32,0,7,0,45,Away,Villarreal,6.2
M. Gómez,M,44,38,1,0,2,1,0,0,0,3,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,7,0,90,Away,Villarreal,6.7
G. Moreno,F,28,20,4,3,1,0,2,1,4,5,1,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,3,14,0,84,Away,Villarreal,6.7
P. Alcácer,F,13,11,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2,0,45,Away,Villarreal,6.4
G. Rulli,G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Villarreal,0
R. F. Mori,D,5,5,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,Away,Villarreal,6.4
Lanchi,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Villarreal,0
J. Costa,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Villarreal,0
A. Baena,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,Villarreal,0
V. Iborra,M,29,28,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,45,Away,Villarreal,6.8
T. Kubo,M,13,9,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,4,0,16,Away,Villarreal,7.2
